Topic_Num,Topic_Perc_Contrib,Keywords,Text
2.0,0.9698,"technology, business_model, mainstream, consumer, disruptive_innovation, purpose, customer, reality, attribute, market","We formally define the business_model as the system of independent activities that are performed by a focal firm and by its partners and it mechanisms that link these activities to each other.An activity in a focal firms' business_model can be viewed as the engagement of human, physical, and/or capital resources of any party to the business_model (the focal firm, end customers, vendors, etc. to serve a specific purpose toward the fulfillment of the overall objective.An activity system is a set of interdependent and interconnected activities that are centered on a focal firm; it encompasses activities that are conducted either by the focal firm or by partners, customers, or vendors."
2.0,0.9491,"technology, business_model, mainstream, consumer, disruptive_innovation, purpose, customer, reality, attribute, market","The pandemic spread has caused unprecedentedly tough quarantine measures and required quick
changes in the organization of work and business
towards distant ones. The new economy that is being formed will include virtual reality thanks to
total digitalization whereas the material reality
will be also changed significantly. "
2.0,0.9463,"technology, business_model, mainstream, consumer, disruptive_innovation, purpose, customer, reality, attribute, market","To manage disruption requires leaders to balance the tension between
exploiting a core business that generates reliable, short-term results, and exploring into new areas where results are uncertain, even if the long-term payoff may
prove to be attractive."
2.0,0.9356,"technology, business_model, mainstream, consumer, disruptive_innovation, purpose, customer, reality, attribute, market","The ultimate purpose of an ecosystem is to create a joint value_proposition, and to do so it needs to be broken down into independent modules. These modules must be non-generic, and must be mutually aligned towards the joint value_proposition."
2.0,0.9309,"technology, business_model, mainstream, consumer, disruptive_innovation, purpose, customer, reality, attribute, market","It is important to invest in building solid, theoretical frameworks to analyse the issue. This, along with empirical research encompassing low-income countries, would enrich the basis for proposing and implementing."
2.0,0.9309,"technology, business_model, mainstream, consumer, disruptive_innovation, purpose, customer, reality, attribute, market","To increase the success of the designed BM on the market, the company must analyze various alternatives, have a good understanding of customer requirements, a precise understanding of the value chain so as to deliver what customers need as cost-effectively as possible and on time and should also have a neutral perspective on outsourcing. Hence, the ability to adapt the BM can be seen as a dynamic capability itself."
2.0,0.8792,"technology, business_model, mainstream, consumer, disruptive_innovation, purpose, customer, reality, attribute, market"," High-end disruptive_innovation involves radical
technologies, while low-end disruptive_innovation is based on incremental technologies"
3.0,0.977,"service, digital, customer, opportunity, engagement, company, business_model, subscription, revenue_model, might","focus shifts into further scaling the revenue_model and associated digital services while ensuring it allows sufficient profitability. A first key activity is implementing a modular approach to scaling. A key revenue_model challenge for the firms we studied were that most advanced digital services are not easily upscaled, i.e., sold to many different customers, due to the need for high degrees of customization. As a response, firms need to work with core modules that can be adapted to various local contexts. For example, a subscription payment model can have different levels which allows for it to be adapted to varying customer needs. Similarly, at certain global markets, subscription fees may be complemented with add-on expert consulting services to ensure that the digital services are properly implemented and used to realize the intended KPIs for customers"
3.0,0.9731,"service, digital, customer, opportunity, engagement, company, business_model, subscription, revenue_model, might","Digitalization is having a significant impact on firms by enabling the transformation in their operation and value_propositions. It is also, enhances customer interaction. It helps in removing the international barrier and helps SMEs in international market engagements. It is having a direct impact on competencies for the firms to compete in foreign markets. It becomes easy for the firms to locate investors, required talents, and change agents by creating the network and source of data. Digitalization redesigns the business_model to enable new opportunities along with new value_creations and developing customer_relationships. It facilitates a few companies via adding different services as a complement in product offers to add the support in a broader way."
3.0,0.9698,"service, digital, customer, opportunity, engagement, company, business_model, subscription, revenue_model, might","There are four CVP perspectives, that indicate if it is effective or not: First, the value package should include both benefits and costs that establish clear differentiation from competitive offerings and are important to targeted customers. Second, a necessary consideration involves how value gets distributed across the customer relationship, before, during, and after the usage experience, including when the greatest value might be created. Third, nature of the resource sharing is pertinent, especially in instances in which deeper reciprocal engagement might result in meaningfully cocreated CVPs. Fourth, firms must determine which CVP design characteristics to emphasize when developing value_propositions."
3.0,0.9431,"service, digital, customer, opportunity, engagement, company, business_model, subscription, revenue_model, might","Many startups do not yet have business_models. Therefore, one cannot paint a portrait of what one does not know. Consequently, the discovery process is used to determine what should go into the model. For each component, participants try to identify those elements of a business_model that stand to make the most contribution to creating and delivering benefits to customers and, importantly, monetizing the benefits."
3.0,0.9256,"service, digital, customer, opportunity, engagement, company, business_model, subscription, revenue_model, might",Cross-border businesses rely on digital communication for success. Organizations that find a way  to communicate effectively with all members from different parts of the world can open up their opportunities by tenfold.
3.0,0.9256,"service, digital, customer, opportunity, engagement, company, business_model, subscription, revenue_model, might","Provide entrepreneurs with office and manufacturing 
space, technical, legal, and electrical help, and 
networking and training opportunities.
traditional incubator rarely take ownership positions, 
but they usually charge their tenant rent. 
( Ann, 2000: 3)"
3.0,0.9121,"service, digital, customer, opportunity, engagement, company, business_model, subscription, revenue_model, might","To be effective, the analysis of customer value has to be fine-grained: A major insight is the need to consider value_proposition (what is promised), value targeting (who is the primary recipient) and value delivery (how the promise is fulfilled) separately, which most companies don’t do."
4.0,0.9517,"business_model, thus, representation, bm, meaningful, type, andor, building, consequence, value_creation","A business_model framework is a basic structure that spells out the building blocks (components) for acquiring and using resources to generate, deliver and monetize customer benefits. Importantly, it is a shared language that can be used to zoom in on strategically meaningful activities and their consequences for value_creation and capture. Thus, the framework can be used to develop a new business_model or paint a portrait of an existing model."
4.0,0.9431,"business_model, thus, representation, bm, meaningful, type, andor, building, consequence, value_creation","Managers can use representations in communication to represent value and thus facilitate communication with the external surroundings while avoiding misunderstandings. Communication can be used to confront representations and better coordinate dialogues, as different types of visualizations can inspire different kinds of cognitive processes."
4.0,0.9356,"business_model, thus, representation, bm, meaningful, type, andor, building, consequence, value_creation","The home country’s business environment is negatively associated with firms’ decisions to invest abroad, and such a negative relationship becomes more severe when firms are state-owned or are lacking an export network."
4.0,0.9309,"business_model, thus, representation, bm, meaningful, type, andor, building, consequence, value_creation","Avoid pricing products as “loss leaders,” as it sets expectations and precedents that you can sometimes not change. If you want to introduce a product at a reduced cost, price it as a promotional offer with a limited time frame and/or quantity that is being extended based on a larger, more profitable commitment. Provide after-promotion pricing to avoid misunderstandings.(Harney. 2020. p.3.)"
4.0,0.8926,"business_model, thus, representation, bm, meaningful, type, andor, building, consequence, value_creation","Getting benefit from the design thinking methods of value mapping,value_proposition prototyping, and value_proposition implementation for development of sustainable BMs will allow for a repeatable process that can be adopted by firms looking to develop new sustainable BMs. "
4.0,0.3444,"business_model, thus, representation, bm, meaningful, type, andor, building, consequence, value_creation",The outcome of design must be meaningful to others. The product is used to communicate this meaning.
5.0,0.9707,"business_model, system, company, process, technology, asset, innovation, effect, –, machine_learning","Baden-Fuller and Morgan (2010) postulated to the effect that business_models may be perceived as the outcome of the combination of recipes. In this metaphor, the ingredients of those recipes would be resources, capabilities, products, customers, technologies, markets, regulations, and so on. What constitutes a successful recipe in one instance may differ from what constitutes success in another instance. The capability to know what factors can produce which anticipated outcomes, and an appreciation of why is key to building a successful business_model in line with the cognitive school of thought"
5.0,0.9698,"business_model, system, company, process, technology, asset, innovation, effect, –, machine_learning","The immediate concerns of value appropriation, point out that innovation can generate value by asset appreciation (Jacobides, Knudsen, & Augier, 2006: 03). The notions of complementarity and mobility are best treated as independent aspects of co-specialization because they capture distinct economic effects. Complementarity influences the size of the value to be bargained over (some combinations yield higher value, others lower value, depending on their “fit”). In contrast, mobility influences the bargaining power of the asset holders, and thus the division of the value (some assets cannot be replaced other assets can be replaced by numerous equivalents at negligible cost) (Jacobides et al., 2006: 7)."
5.0,0.9678,"business_model, system, company, process, technology, asset, innovation, effect, –, machine_learning","This transformation represent an incremental_innovation that optimizes the actual business without involving big changes. New enabling technologies such as Big Data, Cloud Computing, Collaborative Robots, Additive Manufacturing, Artificial Vision or Augmented Reality are introduced just to optimize the value_creation architecture (key resources and activities) due to increasing efficiency and improving performance (reducing costs, time and failures, employee training, etc.). This could be the first step for traditional manufacturing companies to embrace the Industry 4.0 without addressing high risks. "
5.0,0.9667,"business_model, system, company, process, technology, asset, innovation, effect, –, machine_learning","Business model innovation differs from instrumental innovations (e.g. in processes or
products) in that it is a more systems-oriented approach, aiming at deliberate changes to
how companies create value (Wirtz et al., 2016). As a consequence, business_model
innovation deals with comprehensive activity systems, bringing together various tasks
such as supplier identification and recruitment, value_proposition design, development of
new customer channels, new revenue_models and many more."
5.0,0.9642,"business_model, system, company, process, technology, asset, innovation, effect, –, machine_learning","Despite the benefits of machine_learning for prediction, its contribution to the processes
of inference is virtually nil. According to Mullainathan and Spiess (2017), machine_learning
addresses the needs of prediction, but most applications in economics revolve around the
estimation and interpretation of the parameters of the model. Athey (2018) is consistent
with this, pointing out that causal inference is typical in the economics literature, but that
machine_learning does not address the needs of estimation. Overcoming this limitation is
crucial in the context of real estate, since the interpretation of the obtained function, the
identification of the most important variables, and the estimation of the marginal effects,
among other things, are fundamental topics for the generation of knowledge and economic
decision making.(Pérez-Rave, Correa-Morales and González-Echavarría, 2019) 
"
5.0,0.9642,"business_model, system, company, process, technology, asset, innovation, effect, –, machine_learning","It is prudent to focus specifically on value_propositions because it has been demonstrated that they have been successfully developed and communicated by less than 10% of companies (Frow & Payne, 2011), indicating the extent of their untapped potential. The development of value_propositions is associated with innumerable_benefits, especially in a servitization setting that demands new capabilities and management_practices. In practice, servitization is fundamentally about changing seller-_and_product-based_value_propositions to customer-_and_service-based_proposals."
5.0,0.9613,"business_model, system, company, process, technology, asset, innovation, effect, –, machine_learning",Cultural differences do not automatically cause tensions. But when tensions do arise – often due to situational factors such as lack of communication or poor performance – people blame many of the organizational difficulties they encounter on cultural heterogeneity – on the presence of others who seem different – rather than to the context within which these problems took place
5.0,0.9613,"business_model, system, company, process, technology, asset, innovation, effect, –, machine_learning","According to the Duality school, implementing a unique business_model requires explorative activities as BMIs are somehow new in nature and long for new organizational processes, structures, and capabilities. This is in stark contrast to an operating business_model of a company, which is most often directed at exploitation. A conundrum emerges which is characterized by whether there is a conflict with the established business and whether there is a similarity with the established business"
5.0,0.958,"business_model, system, company, process, technology, asset, innovation, effect, –, machine_learning",The firms extract above-normal returns from cross-border investments by internalizing host-country market imperfections when their firm-specific assets cannot find comparable value elsewhere. The results from internalization are expected to be capitalized into the higher value of the firm which reflects that investment decisions improve the ability of the firm to expand by taking benefit from the systemic advantages inherent in a multinational network
5.0,0.954,"business_model, system, company, process, technology, asset, innovation, effect, –, machine_learning","Improving and extending the scope of value_creation over time, emphasizing on value-creation processes in the implementation phase as successful business_model innovation requires significant effort in delivering value in use to make the business relationship sustainable for both parties over time. In this phase, ensuring alignment by simultaneously refining value_creation processes and regulating incentive structures will be important."
6.0,0.9688,"business_model, performance, quantification, business_markets, value_proposition, innovation, capacity, boosting, want, willing","Scaling strategies are also distinct because of their focus on capacity boosting to exploit the viable business_model at scale (Autio, 2016; Reuber et al., 2021; Sullivan, 2016; Zhao et al., 2020), where substantial economies of scale can be accrued, especially when the firm has a digital business_model (Coviello, 2020; Tippmann et al., 2018). Capacity boosting requires an increasing commitment to bundling resources into formalized activities. This contrasts with the resource flexibility required for experimentation during the start-up phase (Clarysse et al., 2011; Sirmon et al., 2011)."
6.0,0.9628,"business_model, performance, quantification, business_markets, value_proposition, innovation, capacity, boosting, want, willing","Do your research. Find out what kind 
of businesses incubator or venture 
capitalist deals with, and what kinds
of services are provided, and how 
they want entrepreneurs to approach
them. ( Ann, 2000: 3)
Know what you want and what you 
will give up.
Know how many people are you
willing to show your business plan
to in order to get introductions to 
potential customers.
What tradeoffs are you willing to 
make.
Have a business plan or at least an
executive summary to present.
Make sure you have a clear sense 
of the business_model, of what 
the market needs, how you will sell 
the idea, and of what people will
pay for it. ( Ann, 2000: 3)"
6.0,0.9561,"business_model, performance, quantification, business_markets, value_proposition, innovation, capacity, boosting, want, willing","A key difference between business_markets and consumer_markets — in consumer_markets, explicit quantification of value is typically not necessary. However, in business_markets, purchasing managers are frequently required to quantify the value of different offers.“value quantification capabilities substantially and positively influence firm performance”. Thus value_proposition quantification in business_markets is a key
consideration in effective value_communication."
6.0,0.9463,"business_model, performance, quantification, business_markets, value_proposition, innovation, capacity, boosting, want, willing","Buying a house is the largest financial transaction for most households (Pedersen et al.
2013), knowing the real value of a home is a major asset in more ways than one and allows
the buyer to not only distinguish between good and bad deals but also to be able to effectively
negotiate the price of the property during the transaction. On the seller’s side, the
precise estimate of the price of his/her home before it goes on sale allows him/her to know
its exact market value.(Tchuente and Nyawa, 2021)
"
6.0,0.9431,"business_model, performance, quantification, business_markets, value_proposition, innovation, capacity, boosting, want, willing","A value_proposition is an explicit promise made by a company to its customers that it will deliver a particular bundle of value creating benefits. While trying to create a new value_proposition one should increase the customer benefits or enhance the existing services for better shopping experience. In this case, the long checkout procedure considered as one of the main reasons for cart abandonment, which have greater rate up to 70 percent."
6.0,0.9356,"business_model, performance, quantification, business_markets, value_proposition, innovation, capacity, boosting, want, willing","From the findings of this research, it is suggested that the quality management of packaging in online promotions is important to consumers in cross-border e-business_markets. Furthermore, it is suggested that quality management of higher valued products with larger discounts is also important to online consumers in cross-border e-business_markets."
6.0,0.9309,"business_model, performance, quantification, business_markets, value_proposition, innovation, capacity, boosting, want, willing","A start-up aiming to become a high-growth company can maximize its speed of progress by keeping these five core dimensions in balance. Customer, Product, Team, Business Model, and Financials."
6.0,0.9194,"business_model, performance, quantification, business_markets, value_proposition, innovation, capacity, boosting, want, willing","However, in line with Bailetti and Craigen (2020) who argue that cybersecurity is not only about protection but also about innovation, the present study argues that cybersecurity is both a necessity and an enabler of scaling through digital internationalization."
6.0,0.9033,"business_model, performance, quantification, business_markets, value_proposition, innovation, capacity, boosting, want, willing","When products are not yet good enough to satisfy customers’ performance requirements, firms rely on internally interdependent integrated product architectures to maximize performance."
6.0,0.8926,"business_model, performance, quantification, business_markets, value_proposition, innovation, capacity, boosting, want, willing","A systematic business_model should be comprised of Origins of innovations, innovation process, organizational implementation, organizational anchoring and degree of innovativeness."
7.0,0.977,"disruption, consumer, process, business_models, lowend, technology, sbmi, business_model, related, brickandmortar","New-market disruptions begin with least-demanding tier and compete against non consumption, are specifically focused on creating consumption and are disruptions that create a new value network. These innovations provide products with a different group of features from the mainstream product for customers who “had not owned or used the prior generation of products or services” or new users. Unlike low-end disruptions, new market disruptions do not necessarily compete on lower price, adding that many disruptive changes are hybrids of low-end and new market disruption (e.g. Canon Photocopier). New market disruption into two types: fringe-market low-end encroachment and detached-market low-end encroachment"
7.0,0.9731,"disruption, consumer, process, business_models, lowend, technology, sbmi, business_model, related, brickandmortar","That the consumer wants to purchase high-quality apparel, which satisfies their fitting preferences, in an easy and cost-effective manner. This is not a
problem when it comes to small brick-and-mortar shops where the consumer can touch the fabric, look at the color, try on the apparel, etc. The challenge arises in online apparel stores, where the consumer is able to evaluate the apparel qualities only virtually. Online apparel stores provide consumers with various benefits, such as saving time and money, 24-hour availability, better service in general, a fast (and easy) process of shopping and a greater choice of products compared with brick-and-mortar shops (Monsuwe, Dellaert, & Ruyter, 2004; Loker, Ashdown, Cowie,& Schoenfelder, 2004; Orzan, Iconaru, Popescu, Orzan, & Macovei, 2013)"
7.0,0.9688,"disruption, consumer, process, business_models, lowend, technology, sbmi, business_model, related, brickandmortar","In the case of digital archives, micro-level activities can also be combined with aggregated
observations concerning the state of an organization or a field. Actors can be identified, actions can
be tracked and measured on the micro level, including assessments of their discursive strategies.
Snippets can more easily be found on the micro level and related to aggregated patterns such as
turnover growth, the emergence of brokerage firms, and how they differed from traditional actors
such as banks."
7.0,0.9642,"disruption, consumer, process, business_models, lowend, technology, sbmi, business_model, related, brickandmortar","With the recent developments towards internet of things (IoT), we can expect that in the future devices and systems can seamlessly communicate. The most typical IoT-effects are seen in data analytics, where new devices can on-line collect earlier hardly accessible information and feed it into the cloud, where theoretically “unlimited” computing power can be applied for processing the data or optimizing larger-scale problems."
7.0,0.958,"disruption, consumer, process, business_models, lowend, technology, sbmi, business_model, related, brickandmortar","Organizations that can, for example, digitalize information-intensive process- es are able to replace manual steps, which helps streamline actions. Thus, an integrated digitalization enables new_ventures to track processes in real time so that workflows become more transparent, which allows for not only faster decision making but also the identification of processes with improvement potential, which might result in cost savings."
7.0,0.958,"disruption, consumer, process, business_models, lowend, technology, sbmi, business_model, related, brickandmortar","Digital technology can achieve economies of scale that bring fintech and peer-to-peer lenders’ overhead costs down, reduce transaction costs, and increase speed of operations. Cloud-based AI products can enable the lenders to standardize procedures and security levels in different countries relying on Blockchain’s decentralized technology."
7.0,0.958,"disruption, consumer, process, business_models, lowend, technology, sbmi, business_model, related, brickandmortar","SBMI faces the challenge of exploring, brokering, and re-aligning organizational boundaries of different stakeholders. However, the processes through which businesses navigate such boundary work for SBMI remains little explored. We address this gap by providing an empirical, detailed description of the boundary work processes for SBMI as a basis for further theoretical and practical work. "
7.0,0.9561,"disruption, consumer, process, business_models, lowend, technology, sbmi, business_model, related, brickandmortar","The two key measures of quality of business_models are customer value (effectiveness) and business value (efficiency).[2] The objective of every for-profit firm is to move to and stay in the “Winner state,” characterized by simultaneous provision of outstanding customer and business value. The first step to enhancing the value produced by the business_model is asking the right questions, ones that will inform the strategic development agenda of companies’top management teams and boards."
7.0,0.9256,"disruption, consumer, process, business_models, lowend, technology, sbmi, business_model, related, brickandmortar","A solution to ensure market equilibrium and serve markets that consist
of people at the bottom of the pyramid, ‘bottom billion’ is to disrupt the
market through disruptive_innovation to break the relationship between
supply and demand"
7.0,0.9194,"disruption, consumer, process, business_models, lowend, technology, sbmi, business_model, related, brickandmortar","Social learning can operate through two distinct (and sometimes opposing) channels: on one hand, it can help consumers sort products according to quality, so to yield them objectively better products; on the other hand, it can match consumers with products they have a strong taste for, so to yield them subjectively better matches."
8.0,0.9746,"ecosystem, innovation, investor, actor, business_model, position, financial_capital, cofounder, might, done","The activities, actors, positions, and links are stable; to the extent that there is change, it is at the level of individual actors or dyads (e.g., new products launched through established channels; rivalry among actors in the same positions) rather than affecting the structural alignment of multilateral positions. In such settings, the ecosystem has the taken-for-granted character of routine-as-truce (i.e., Nelson & Winter, 1982). It is when innovation requires a change in the configuration of these elements that the ecosystem becomes apparent and where consideration of ecosystem dynamics becomes critical for crafting and understanding strategy."
8.0,0.9724,"ecosystem, innovation, investor, actor, business_model, position, financial_capital, cofounder, might, done","At inception, a startup might be missing resources in three major areas: human_capital, social_capital, and financial_capital. To fill those holes, “core_founders” can attract cofounders, hires, and/or investors. Cofounders and hires may bring new skills and industry knowledge, have contacts with customers or potential partners, and also contribute financial_capital to help get the startup off the ground. Investors can contribute far more financial_capital than the typical cofounder or hire but, as described below, may vary widely in the amount of other value they might add."
8.0,0.9667,"ecosystem, innovation, investor, actor, business_model, position, financial_capital, cofounder, might, done","Business model innovation matters to managers, entrepreneurs and academic researchers for several reasons. First, it represents an often underutilized source of future value. Second, competitors might find it more difficult to imitate or replicate an entire novel activity system than a single novel product or process. Third, because business_model innovation can be such a potentially powerful competitive tool, managers must be attuned to the possibility of competitors’ efforts in this area."
8.0,0.9356,"ecosystem, innovation, investor, actor, business_model, position, financial_capital, cofounder, might, done","International mergers and acquisitions (M&A) have long been used by multinational enterprises (MNEs) to quickly expand abroad or penetrate new foreign markets, but sometimes because of cultural differences M&A outcomes can be disappointing"
8.0,0.9309,"ecosystem, innovation, investor, actor, business_model, position, financial_capital, cofounder, might, done","In dynamic, open and highly collaborative environments, business_model innovation (BMI) is aimed at creating innovative value_propositions, based on exploration and exploitation of new business opportunities’ forecast, process and product innovation in an holistic approach of BPMI."
8.0,0.9121,"ecosystem, innovation, investor, actor, business_model, position, financial_capital, cofounder, might, done","Once we understand the job and all its dimensions, including the full process for how to get it done, we can design the offering. The more important the job is to the customer, the lower the level of customer satisfaction with current options for getting the job done, and the better your solution is than existing alternatices at getting the job done, the greater the customer value_proposition."
8.0,0.9033,"ecosystem, innovation, investor, actor, business_model, position, financial_capital, cofounder, might, done","Good infrastructure, open economies and a good industry environment, bringing opportunities for cross-border e-commerce investors"
8.0,0.8926,"ecosystem, innovation, investor, actor, business_model, position, financial_capital, cofounder, might, done","Ecosystems are created by powerful firms to create or extract value. For instance, in the Google/Android ecosystem, Samsung and Motorola are creating sub-ecosystems to create or extract value."
