name,content,type
AB0005,"This study specifies that internationalization of online SMEs is associated with being able to create new partnerships and foster interorganizational system and service integration, particularly with large international online marketplaces and platforms. Further, the use of critical information systems such as CRM and ERP software for managing customer relationships and business processes in the digital and international environment is essential.","Westerlund, 2020, p. 54"
AB0006,"However, in line with Bailetti and Craigen (2020) who argue that cybersecurity is not only about protection but also about innovation, the present study argues that cybersecurity is both a necessity and an enabler of scaling through digital internationalization.","Westerlund, 2020, p. 54 "
AB0007,"Regarding implications for practice, our results suggest that SMEs seeking growth through digital internationalization need to develop a set of capabilities, specifically in regard to partnering, customer relationship, and business process management, as well as invest in ICT resources and cyber resilience.","Westerlund, 2020, p. 54 "
AB0008,New ventures that can successfully adopt digital technologies and develop the necessary capabilities to use those resources along the value chain are able to generate a variety of benefits to overcome the liabilities of newness and smallness.,"Rosin et al., 2020, p. 3 "
AB0009,"Organizations that can, for example, digitalize information-intensive process- es are able to replace manual steps, which helps streamline actions. Thus, an integrated digitalization enables new ventures to track processes in real time so that workflows become more transparent, which allows for not only faster decision making but also the identification of processes with improvement potential, which might result in cost savings.","Rosin et al., 2020, p. 3 "
AB0010,"One of the benefits of digitalisation is that, It further helps organizations identify risk factors. The continuous access to real-time data provides managers with the opportunity to react before problems occur, resulting in potential cost savings. Thus, we believe that the more parts along the value chain are digitalized, the higher are the resource savings.","Rosin et al., 2020, p. 3"
AB0011,"In addition, with digitalization comes the “ability to turn existing products or services into digital variants, and, thus, offer advantages over tangible products”. This way, new products can be introduced to the market more easily. Furthermore, a high degree of digitalization enables firms to get digital customer feedback through digital platforms. This way, new ventures can integrate customers’ opinions as they develop digital innovations.","Rosin et al., 2020, p. 4 "
AB0012,"Our results further show that a high degree of digitalization results in greater market flexibility, such that new ventures integrating digital technologies are able to react quickly to changing market conditions.","Rosin et al., 2020, p. 9"
MA0001,"Managers pursuing transnational entrepreneurship should seriously consider establishing operations in a second country,which will provide access to people and assets that will increase the new company’s capacity to create and capture value","Bailetti E, 2018,  p. 34"
MA0002,"The role of cross border resouces emerges clearly from this empirical analysis: they can offer competitive advantages since they can ensure access to external resources such as capital, labour and wealthier markets.","Cappellano & Rizzo,b2019, p. 462"
MA0003,"Customer experience is definitely the key to strengthening the cross-border sales. Some of your customers will be promoters, satisfied with your company and happy to put in a good word for you is likely to help you grow your business.","Kulach Karolina, 2021"
MA0004,"Enterprises engaged in cross-border not only need to deal with cross-border logistics, exchange rate, and
 other uncertain factors but also need to get through many links, thus pushing up the economic cost and time cost","Liu & Li, 2019"
MA0005,"Good infrastructure, open economies and a good industry environment, bringing opportunities for cross-border e-commerce investors","Lei & Qiu, 2021, p. 321-330"
MA0006,We propose that innovation ecosystems that develop a sustainable business model engage in a process of valuing value in which they search for a result that satisfies all actors,"Oskam et al., 2021, p. 1059-1091"
MA0007,"The home country’s business environment is negatively associated with firms’ decisions to invest abroad, and such a negative relationship becomes more severe when firms are state-owned or are lacking an export network.","Qunxi et al., 2021, p. 9"
MA0008,"The different parts of cross-border regions often show very dissimilar economic histories, technological trajectories, institutional set-ups as well as different social
 dynamics, they also form barriers obstructing successful integration","Tseng, 2020, p. 263-273"
MA0009,"Differences create the foundation for cross-border growth by offering potentials for new combinations and unexploited synergies, especially when it comes to generate, transmit and share innovation-relevant knowledge","Tseng, 2020, p. 263-273"
MA0010,"Logistics, which consists of warehousing, sorting, packaging, and distribution, play a significant role in cross-border e-commerce transactions since it links sellers and buyers, and supply and demand","Tseng, 2020, p. 263-273"
MA0011,Cross border companies should set goal to be smart businesses which represent the dominant business logic of the future in ecosystem.,"Tseng, 2020, p. 263-273"
MA0012,"As more and more consumers start shifting their purchases online, there will be a continuous demand for growing innovation in digital experiences. When it comes to expanding internationally with the added complexities associated with different cultures, spending habits, and buyer expectations.","Watson Corinne, 2021"
MA0013,"To start cross-border e-commerce business well, we must first carry out a rational market position, the goal is to occupy the terminal markets, then to the global market and integration of the value chain.","Xue et al., 2018 p 137"
MA0014,"We also should build the value chain, carding and supplement. Furthermore, synthesized service platform of cross-border e-commerce should be built to train young backbone of the business, and they should master the skills of cross-border e-commerce.","Xue et al., 2018 p 137"
LI0001,"The most important building blocks for a cohesive business model should include value creation, value delivery, and value
appropriation.","Sorescu, 2017"
LI0002,"A business model should always describe how an organization creates, delivers, and captures value.","Sjödin et al., 2020"
LI0003,"A company and its stakeholders can be described along five dimensions of a company’s business model as, social, financial, customers, business partners and employees.","Freudenreich et al., 2019"
LI0004,"Iterating value proposition with an extended range of stakeholders creates larger acceptance, commitment and support for a sustainable business model innovation.","Baldassarre et al., 2017"
LI0005,The two primary functions of a business model are value creation for the firm stakeholders and value capture for the firm owners.,"Biloshapka & Osiyevskyy, 2018"
LI0006,"When digitalizing a company, it is important to understand the exact customer needs and understand that the heaviest cost associated come from product development and infrastructure development. ","Parida et al., 2019"
LI0007,"During business mergers and acqusitions, attention should be paid to, cultural fit, human resource management, management style similarity, politics, cultural tolerance, and social climate.","Caiazza et al., 2017"
LI0008,"A systematic business model should be comprised of Origins of innovations, innovation process, organizational implementation, organizational anchoring and degree of innovativeness.","Barth et al., 2017"
LI0009,"Systematic business models related to Internet of Things (IoT) are categorized as add-on, sharing, usage-based, and solution-oriented business models.","Suppatvech et al., 2019"
LI0010,"Main challenges when developing Circular Business Models (CBM) are sustainability, supply chain, Company, ICT and Lean-based ones.","Rosa et al., 2019"
AA0001,"It should be noted that the word VALUE has two separate definitions, expressing both the utility of a particular object and the power to purchase other products that the possession of that object confers. The first is referred to as 'value in use,' while the second is referred to as 'value in exchange.' The items that have the most value in use often have little or no value in exchange; on the other hand, the things that have the most worth in exchange often have little or no value in use.","Eggert et al., 2018, pp. 80-90"
AA0002,"Capitalism is based on the generation of value. Customers can develop customer value by doing it themselves (insourcing), which is popular in B2B markets. While this is incredibly effective, internal turf difficulties, transfer pricing issues, and distributing the surplus generated by value creation among multiple internal business units may make it inefficient. When a client outsources value creation operations to independent contractors and suppliers, value in exchange is created. The supplier business benefits from the discipline of competitive pricing in unfettered marketplaces since it drives cost efficiency. Companies that are unable to create value are doomed to fail as a result of constructive destruction. While market efficiency may exist, it may also result in market failures or partial failures in terms of ignoring and serving particular portions of society due to affordability and accessibility concerns.","Sheth, 2020, pp. 312-315"
AA0003,"Organizations feel obligated to tell us ""what"" they do without first explaining ""why."" Understanding the need (the why) before focusing on the outcome is an important part of the design process (the what). If successful, an organization's 'why' can inspire long-term buy-in from employees and customers by resonating on a deeper, emotional level. The 'Golden Circle' concept, developed by Simon Sinek, was used to examine 100 organisations' value propositions across sixteen industries in order to better understand how they are currently conveying their what, how, and why. When compared to the how and what outcomes, only 24% of organisations explicitly stated their ""why."" This article uses an iterative design method to help firms better understand their value, allowing them to establish their ""why"" from the inside out. This article illustrates why analysing an organization's value proposition should be at the centre of strategy decisions and communication.","Straker & Nusem, 2019, pp. 59–76 "
AA0004,"Over 66 percent of the world's population (4.92 billion) uses mobile phones, and more than half of them use social media as a result of the digital technology revolution and tremendous expansion of smart phone usage. Mobile social networking has evolved into a critical communication tool, a new trend, a necessity, and a way of life. With information transparency, consumer value shifts quickly, and rapid adaption of similar services in the market place makes it critical for suppliers to keep up with these shifts, which have a direct impact on customer happiness and loyalty. The study considers WeChat (1 billion active users) as the company under study and compares it to WhatsApp (1.5 billion active users) as the main competitor in the industry to establish a value proposition in the real world. Customers' perceptions of value for mobile social networking services are identified, followed by a critical review of the existing value proposition of WeChat with Whatsapp to identify gaps, and lastly, a new value proposition for WeChat is proposed.","Wan et al, 2019, pp. 1091-1115"
AA0005,"Future research could use a marketing analytics method to collect data over time on how web designers treat high-level navigation. According to a convenience sample of financial planning organisations, the About Us page is typically reserved for biographies and mission statements, and these subpages do not stimulate customers to locate a value proposition. Nonetheless, the About Us page indicates legitimacy, which is consistent with institutional theory.","Goldring, 2017, pp. 57-67"
AA0006,"A organised process for deconstructing value propositions is built using the business system framework. This paradigm is expanded to understand the value-in-use that arises from many contacts, to encompass learning processes, and to realise its interactive and recursive nature.","Payne & Frow, 2014, pp. 237-270"
AA0007,"The customer value proposition (CVP) is an important tool for expressing how a business intends to give value to its customers. Despite the fact that managers and academics are increasingly using CVP nomenclature, the notion remains poorly understood and implemented; despite the wide scope of study on the value concept, relatively little research on this topic has been published. In response, this article provides a comprehensive review of the fragmented CVP literature, highlighting the lack of a strong theoretical foundation; distinguishes CVPs from related concepts; proposes a conceptual model of the CVP that includes antecedents, consequences, and moderators, as well as several research propositions; illustrates the application of the CVP concept to four different companies; and advances a compelling research agenda.","Payne, Frow & Eggert, 2017, pp. 467–489."
AA0008,"It's common for organisations to overlook the strategic use of vice presidents, as many examples show, including the ones I've tried to highlight with Boeing and IBM above. They must be delivered in a credible and vivid manner, a problem that marketing frequently takes on with zeal. But, just as important, and perhaps more so, a company's vice president must be taken seriously enough to assure that he or she is actually giving it.","Lanning, 2020, pp. 306–308"
AA0009,"The notion of value proposition was split into five components by finding and methodically analysing Amazon.com innovations: performance, simplicity of use, reliability, flexibility, and affectivity (PERFA). An attempt to link value proposition and innovation in a novel way. It gives scholars and practitioners a better grasp of how innovation affects the structure of a value offer.","Lindic et al., 2011. pp. 1694-1708"
AA0010,"A company's ""portfolio of value propositions"" to its various external stakeholders, such as consumers, investors, and resource owners, is one of its most important resources. We fill a vacuum in the value proposition literature in this paper by highlighting qualities that distinguish new company value propositions from existing resources, as well as factors that make them useful. A value proposition is defined as something that facilitates and improves commercial transactions between a new business and its external stakeholders. According to the article, two elements distinguish new company value propositions: (1) business transactions with one or more external stakeholders, and (2) investments to establish and improve a new firm's value propositions that enable business transactions.","Bailetti, Tanev & Keen, 2020, pp. 14-27"
NK0001,"Business planning helps our organisation connect around the marketing strategy by examining the environment in which you function, identifying challenges and vulnerabilities, and demonstrating the firm's sustainability.",Plunket
NK0002,"Organizational characteristics, policy measures, institutional frameworks and governance are considered emergent topics of research. In contrast, theory building has not attracted much, which suggests that the theoretical body of businesses is still incipient, hindering the establishment of its boundaries and of a suitable research agenda.","Pato et al., 2014"
NK0003,"It is important to invest in building solid, theoretical frameworks to analyse the issue. This, along with empirical research encompassing low-income countries, would enrich the basis for proposing and implementing.","Pato et al., 2014
"
NK0004,"The literature has typically indicated that entrepreneurs who are motivated by opportunity have superior economic success. However, some argue that entrepreneurship motivated by necessity is the best. In both circumstances, it is critical to understand the entrepreneurs' motives as well as other elements that may influence their decision.","Government of Canada, 2021
"
NK0005,"According to the research, there is a favourable relationship between entrepreneurship and economic growth, particularly in developed nations. Economic growth in rural regions lags behind that in metropolitan areas, and encouraging entrepreneurship might be a realistic method for regional development.","Government of Canada, 2021
"
NK0006,"Social businesses'  operations are seen as effective; nonetheless, social enterprises must build long-term cross-order collaboration and boost regional social and economic growth. The role of social entrepreneurship as a microeconomic method that involves communities and enterprises in the economic and social development of border regions while also contributing to social cohesion.
","Wevers et al., 2022"
NK0007,"Social entrepreneurship and cross-border institutional collaboration may complement each other, resulting in a more sustainable kind of cooperation. Cross-border collaboration can be an appealing chance to penetrate new markets, thus promoting social cohesion. ","Wevers et al., 2022
"
NK0008,"Interviewees were asked how they would enter a cross-border market and overcome barriers such as transaction fees, a lack of confidence, or language barriers. Interviewees proposed a variety of options, including social franchising, reproducing a successful social firm model, and local community ownership.","Wevers et al., 2022"
RS0001,"Given the collaborative and inventive nature of business model innovation, software-based business model development tools (BMDTs) are said to possess great potential to support their users in innovating business models","Szopinski et al., 2019"
RS0002,"Today, one of the crucial types of business model innovation is the shift from selling products to selling outcome-based services. When selling outcome-based services, a provider assumes responsibility for the performance outcomes of the products and services (e.g., engine functioning) and accepts a penalty for any shortcomings.","Sjödin et al., 2020"
RS0003,"Business model innovation (BMI) refers to the look for new business logic and new ways to make and capture value for stakeholders. It focuses totally on finding new ways to come up with revenues and define value propositions for customers, suppliers and partners. Due to the ever-increasing pace of technological developments and access to new technologies, alliances became a critical competitive advantage in many industries. While checking out BMI opportunities, incumbents are increasingly venturing into new business segments. Against the background of an absence of experience and/or resources, firms searched for partners to get access to necessary resources. We call such an alliance a business model innovation alliance (BMIA).","Spieth & Schuchert, 2018"
RS0004,Using organizational learning as a framework to classify the various patterns of business model innovation within the international context provides a promising angle.,"Cao et al., 2018"
RS0005,"Most value creation was achieved by the value-added manufacturing of industrial and agricultural raw materials. Internal customers were familiar throughout the worth chain, from procurement of raw materials to delivering finished products to external customers. The customer value proposition was conspicuously absent because there was no formal or conscious mindset that conglomerate's subsidiaries were all customers of each other. Today, this can be mentioned as internal marketing.","Sheth, 2020"
RS0006,"Companies are transforming themselves digitally to re-think what their clients like and make operating models which will fully benefit what's newly possible and differentiate themselves from their competition. Innovation stays critical to improving society, business growth, and maintaining a competitive benefit inside markets during this landscape. On top of this, the innovation process continues to be an iterative, uncertain, interactive, path-dependent, context-specific and multi-tasking undertaking. It, therefore, remains the case that a critical subject matter in business is to become conscious of the right solutions for implementing a process of innovation, from the preliminary phase of creativity to promote diffusion","Agostini et al., 2020"
RS0007,"The effectiveness of business model innovation depends on three process phases. What we develop in collaboration with our customers: value proposition definition, value provision design, and value-in-use delivery. Also, success is determined by the coordination of specific value creation and value acquisition. Activities in each phase: identifying value creation opportunities—agreeing on value distribution in value proposition definition, designing the value offering—deciding on the profit formula in the value provision design, and refining value creation processes—regulating incentive structures in the value-in-use delivery. Identifying value creation opportunities—agreeing on value distribution in value proposition definition, designing the value offering—deciding on the profit formula in the value provision design, refining value creation processes—regulating incentive structures in the value-in-use delivery.
","Sjödin et al., 2020"
RS0008,"Most current research agrees that the two main functions of a business model are to create value for the company's stakeholders and capture value for the company's owners. However, what these terms mean, how to measure them, and most importantly, how the management can affect them remain contentious.","Biloshapka & Osiyevskyy, 2018"
RS0009,"In recent years, the worth creation for consumers, companies and networks has been facilitated by various technologies (e.g. mobile applications, cloud computing, artificial intelligence) combined with business models like an SE. An SE refers to "" a socio-economic system that enables the intermediate exchange of goods and services between individuals and organizations to increase the efficiency of society and optimize underutilized resources.""
","Schiavone et al., 2020"
AK0001,The ability to track shipments and ensure chain-of-custody is made possible by blockchain technology. It can aid in the prevention of cargo theft as well as the identification of the cause of a major problem.,"Chang et al., 2019"
AK0002,"Cross-border returns are influenced by geographical distance, cultural differences, and institutional variations, but they do not entirely explain cross-border underperformance. Companies profit from cross-border investing by diversifying their portfolios and overcoming domestic investment shortages in saturated markets.","Buchner et al., 2017"
AK0003,"Companies can actively combat a negative country image by expanding their home bases, purchasing in developing nations, and acquiring through abroad subsidiaries.","He & Zhang, 2018"
AK0004,"The impediments that put indigenous people behind non-indigenous people in the farming sector include a lack of access to credit, a lack of economic valuation, and a lack of representation.","Arcand et al., 2020"
AK0005,"Under pressure to increase food production Agriculture in Canada has issues like as cost containment, soil convergence, labour shortages, and climate change.","Hein, 2020"
AK0006,The most significant benefit of cross-border trading is the global exposure of the goods that merchants deal with.,"Mohsin, 2021"
AK0007,"Regulations, territorial research, third-party platform, feedback, and communication with other merchants are five points to consider before engaging in cross-border trade.","Mohsin, 2021"
AK0008,"Defining the division's position in agri-food commerce, identifying stakeholder challenges, and identifying trends are some ways to enhance the situation for agri-food exports.","Seguin, A. (n.d.)"
EF005,"The ultimate purpose of an ecosystem is to create a joint value proposition, and to do so it needs to be broken down into independent modules. These modules must be non-generic, and must be mutually aligned towards the joint value proposition.","B. Lingens et al., 2021, p.102043"
EF007,"The term ""ecosystem"" was first introduced into the field of business strategy by the sociologist Amos Hawley, and it encompasses a set of actors that contribute to the focal offer's user value proposition.","Kapoor 2018., p.2"
EF015,Ecosystems are groups of firms that coordinate their resources in a specific way to create value. This is done through standards or base requirements that allow firms to make their own decisions while still creating a complex interdependent product or service.,"Jacobides et al., 2018, p. 2263"
EF016,"Ecosystems are created by powerful firms to create or extract value. For instance, in the Google/Android ecosystem, Samsung and Motorola are creating sub-ecosystems to create or extract value.","Jacobides et al., 2018, p. 2263"
EF018,"The total value perceived by the end-customer is an outcome of a complex set of integrated value activities and companies, but the end-customer evaluates them as one entity or offering.","Partanen & Möller, 481-494"
EF019,The value activities of a strategic network are the outcomes of the resources and capabilities deployment of the actors. The value activities are linked with the resource-based view of strategic alliances.,"Partanen & Möller, 481-494"
EF020,"Value activities also differ in respect to their underlying relevanceand ability to enable revenues or profitability to their holders.According toParolini (1999: 110), the activities enabling profitability(1) are critical for the entire value creation system and thefinalproduct/service, (2) have some unique elements, (3) are“visible”tothe end consumers, (4) require skills and resources that cannot beeasily imitated, (5) correspond to the bottlenecks of the VCS, and (6)influence the behavior of the entire value creating system.","Partanen & Möller, 481-494"
EF021,"A well-articulated value chain strategy (VCS) helps managers identify profitable and otherwise strategically attractive activities that match the hub company's existing resource and capability base. The nature of the value activity a potential partner controls in the overall business concept determines the partner's role (strategic, non-strategic). Understanding customer value and the related value-creating system facilitates the identification of the core activities that award the power position in the network and a strong share of the earnings.","Partanen & Möller, 481-494"
SR 003,"New companies committed to scale need to operate across borders, innovate relentlessly, profitably adopt emerging technologies, and execute capital investment programs that enable them to meet aggressive growth objectives. The successful operations of such companies depend on their constructive engagement with multiple external stakeholder groups. Each stakeholder group has unique needs and objectives. The multiplicity of critically relevant external stakeholders necessitates the formulation of multiple valuable propositions that target very different groups with dissimilar roles, needs, and priorities.","Bailetti, T et al., 2020 p 15"
SR 004,"Managing a “portfolio of diverse value propositions” requires the development of company capabilities that can configure internal and external resources in a way to deliver promises made to the different external stakeholders, as well as achieve the objectives of the company’s master scaling plan. New companies that wish to scale rapidly require value proposition development capabilities that go beyond the ones required by companies that have small or moderate growth objectives. Diverse value propositions, all having a logic to scale early and rapidly since inception, must be developed. Each value proposition must then be aligned with the value propositions of all other key stakeholders, as well as with the new company’s pathway to scale.","Bailetti, T et al., 2020 p 15"
SR 005,"The elemental version of our value proposition perspective applies to multiple stakeholders and incorporates what we call “reciprocal dialogues”. It highlights the need for a new company to develop two types of value propositions (1) value propositions to anchor business transactions (set prices for good and services) or investment (set company valuation), and (2) value propositions to attract external partners to make commitments to create and improve the already existing value propositions that enable business transactions (set terms for information and technology exchanges during product feature co-creation).","Bailetti, T et al., 2020 p 17"
SR006,"In service-driven economies characterized by rapid changes due to digitalization, globalization, and an increasing focus on value creation through customer experiences, service innovation is critical to survive and necessary for success. Innovation involves collaboration between actors that leverages existing and new resources in smart ways to create social and business value that drives growth, creates jobs, and ensures a dynamic, healthy economy. Tesla clearly illustrates the need for collaboration with multiple actors and infrastructure support to leverage existing and new resources. The innovation is in how the ecosystem of batteries, cars and, not least, a network of stations to charge the batteries, to note some of the resources necessary to enable innovation to scale up. When more actors become engaged and can extract value, the ecosystem scales up","Di Pietro, L., 2018 p 15"
SR007,"For a service ecosystem to profitably scale up and become sustainable, it must manage the integration of the norms, rules, and habits that customers and other engaged actors appreciate and with which they want to be associated. Both Eataly and KidZania have developed and manage innovations that resonate with the values among customers and other actors in many markets and thus add value for the society and the local community.","Di Pietro, L., 2018 p 16"
SR 008,"Company culture, prior agile and lean experience, management support, and value unification were found to be key success factors during the action research process. Resistance to change, an overly aggressive roll-out time frame, quality assurance concerns, and integration into preexisting nonagile business processes were found to be the critical challenges in the scaling process","Martin K., 2018 p 3"
SR011,"The ecosystem model of scaling social impact has its practical implications. It can help social impact practitioners to improve their strategies with a better understanding of the elements of the ecosystem they need to be aware, foster, or build. It can help policymakers consider which kind of policies creates favorable conditions for a larger scale of social change. It can promote philanthropy leaders and impact investors pay more attention to the role of institutional infrastructure in facilitating and amplifying the scaling of social impact, rather than merely focusing on organizational growth.","Han & Shah, 2020, p. 234."
SR014,"The higher the number of potential foreign buyers, the higher the equilibrium acquisition price, and the higher the number of young companies selling out. This implies fewer companies scaling up, which in the long run also means that the number of domestic anchor companies remains lower.","Thomas et al., 2022, P3"
SR015,"One distinguishing feature concerns the rapidness of growth, with the highest pace of growth typically evident in the scaling stage of the organizational life cycle (Coad, 2018). In fact, many scaling firms exhibit hyper growth rates exceeding 40% annually (World Economic Forum, 2016), which is substantially above the 20% rate that normally denotes high growth (OECD, 2007). Another distinct feature of scaling strategies is that, compared to high growth in mature firms, which typically deal with path dependencies and rigidities while attempting to grow (Sirmon et al., 2011), scaling firms need to deal with a sense of turmoil, chaos, and great inefficiencies while growing. This is because the internal organization of scaling firms is neither well developed nor cost-optimized (DeSantola and Gulati, 2017; Sullivan, 2016), and there are limits for an organization to learn from prior experience if resource development is compressed in time (Dierickx and Cool, 1989).",D. Piaskowska et al. 2019 P3
SR016,"Scaling strategies are also distinct because of their focus on capacity boosting to exploit the viable business model at scale (Autio, 2016; Reuber et al., 2021; Sullivan, 2016; Zhao et al., 2020), where substantial economies of scale can be accrued, especially when the firm has a digital business model (Coviello, 2020; Tippmann et al., 2018). Capacity boosting requires an increasing commitment to bundling resources into formalized activities. This contrasts with the resource flexibility required for experimentation during the start-up phase (Clarysse et al., 2011; Sirmon et al., 2011).",D. Piaskowska et al. 2019 P3
SR017,"When entrepreneurs begin the process of organizing their new ventures, they encounter contexts in which other people—vendors, investors, employees, customers, regulators, and so forth—already have their own expectations concerning entrepreneurship and the practices, processes, and products they will be offered ([ 5]). Such expectations will constrain, to some extent, entrepreneurial creativity and innovation. Of course, those expectations might also educate entrepreneurs by showing them what they are supposed to do, depending on the context. Many of these expectations come from institutions, which are collections of stable rules and roles with a corresponding set of meanings that constrain actions ([20]), leading humans to select activities based on their appropriateness, rather than on more technical but potentially less appropriate criteria ([14]).","Aldrich and Ruef, 2018. p12"
SR018,"In gen-eral, we know that a firm builds a business model with the objective of exploiting a market opportunity, thus cre-ating value for the parties involved. The business model itself can be understood as an interdependent system of resource and activities, which are centered on the firm itself. The role of the firm is central because the activi-ties necessary for the creation of value – in the economic and technological sense – are connected and there-fore must be coordinated. This brings us to the other side of the coin. A business model can also be defined by the content, structure and governance of the transactions designed to create value by exploiting business op-","Monteiro, 2021, p8"
NS001,"By adopting digitalization, a company will be able to generate various benefits like reducing the number of resources for day-to-day operations. Also, it helps in new value creation for existing customers and they may pay more for the advanced services. Based on the project specifications, companies have their desired value creation and resources reductions. It is required to launch a digitalization project by understanding the full value to attain the maximum contribution to the success of an organization.","Grahn et al., 2021"
NS002,"Digitalization is having a significant impact on firms by enabling the transformation in their operation and value propositions. It is also, enhances customer interaction. It helps in removing the international barrier and helps SMEs in international market engagements. It is having a direct impact on competencies for the firms to compete in foreign markets. It becomes easy for the firms to locate investors, required talents, and change agents by creating the network and source of data. Digitalization redesigns the business model to enable new opportunities along with new value creations and developing customer relationships. It facilitates a few companies via adding different services as a complement in product offers to add the support in a broader way.","Hervé et al., 2020"
