name,content,type
AB0005,"This study specifies that internationalization of online SMEs is associated with being able to create new partnerships and foster interorganizational system and service integration, particularly with large international online marketplaces and platforms. Further, the use of critical information systems such as CRM and ERP software for managing customer relationships and business processes in the digital and international environment is essential.","Westerlund, 2020, p. 54"
AB0006,"However, in line with Bailetti and Craigen (2020) who argue that cybersecurity is not only about protection but also about innovation, the present study argues that cybersecurity is both a necessity and an enabler of scaling through digital internationalization.","Westerlund, 2020, p. 54 "
AB0007,"Regarding implications for practice, our results suggest that SMEs seeking growth through digital internationalization need to develop a set of capabilities, specifically in regard to partnering, customer relationship, and business process management, as well as invest in ICT resources and cyber resilience.","Westerlund, 2020, p. 54 "
AB0008,New ventures that can successfully adopt digital technologies and develop the necessary capabilities to use those resources along the value chain are able to generate a variety of benefits to overcome the liabilities of newness and smallness.,"Rosin et al., 2020, p. 3 "
AB0009,"Organizations that can, for example, digitalize information-intensive process- es are able to replace manual steps, which helps streamline actions. Thus, an integrated digitalization enables new ventures to track processes in real time so that workflows become more transparent, which allows for not only faster decision making but also the identification of processes with improvement potential, which might result in cost savings.","Rosin et al., 2020, p. 3 "
AB0010,"One of the benefits of digitalisation is that, It further helps organizations identify risk factors. The continuous access to real-time data provides managers with the opportunity to react before problems occur, resulting in potential cost savings. Thus, we believe that the more parts along the value chain are digitalized, the higher are the resource savings.","Rosin et al., 2020, p. 3"
AB0011,"In addition, with digitalization comes the “ability to turn existing products or services into digital variants, and, thus, offer advantages over tangible products”. This way, new products can be introduced to the market more easily. Furthermore, a high degree of digitalization enables firms to get digital customer feedback through digital platforms. This way, new ventures can integrate customers’ opinions as they develop digital innovations.","Rosin et al., 2020, p. 4 "
AB0012,"Our results further show that a high degree of digitalization results in greater market flexibility, such that new ventures integrating digital technologies are able to react quickly to changing market conditions.","Rosin et al., 2020, p. 9"
MA0001,"Managers pursuing transnational entrepreneurship should seriously consider establishing operations in a second country,which will provide access to people and assets that will increase the new company’s capacity to create and capture value","Bailetti E, 2018,  p. 34"
MA0002,"The role of cross border resouces emerges clearly from this empirical analysis: they can offer competitive advantages since they can ensure access to external resources such as capital, labour and wealthier markets.","Cappellano & Rizzo,b2019, p. 462"
MA0003,"Customer experience is definitely the key to strengthening the cross-border sales. Some of your customers will be promoters, satisfied with your company and happy to put in a good word for you is likely to help you grow your business.","Kulach Karolina, 2021"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
